Common Redpoll,"132608,132611,35068"
Marsh Warbler,"82715,64685,64686"
Sedge Warbler,"120664,120666,76767"
Eurasian Reed Warbler,"124052,124053,27999"
Long-tailed Tit,"113082,101371,128853"
Eurasian Skylark,"123169,123170,158166"
Meadow Pipit,"138979,30614,142431"
Tree Pipit,"83705,33395,99299"
Common Swift,"139552,67307,77645"
Canada Goose,"94584,35578,95381"
Dunlin,"64738,118363,83894"
European Nightjar,"156388,67229,27039"
European Goldfinch,"133880,97792,133886"
Eurasian Treecreeper,"70129,130409,146753"
European Greenfinch,"28961,99155,124013"
Black-headed Gull,"129576,129577,143894"
Western Jackdaw,"121691,156262,121735"
Rock Dove,"92264,116226,121677"
Stock Dove,"89994,82971,77429"
Common Wood Pigeon,"130993,94614,94615"
Northern Raven,"42224,143170,64735"
Carrion Crow,"96464,98400,96133"
Rook,"27145,143002,143005"
Common Cuckoo,"33392,37447,134671"
Eurasian Blue Tit,"42178,44203,131316"
Common House Martin,"148465,133444,142697"
Great Spotted Woodpecker,"148528,98172,72629"
Black Woodpecker,"130426,98942,155975"
Corn Bunting,"123168,125777,123167"
Yellowhammer,"102106,102107,145533"
Common Reed Bunting,"102048,102803,86327"
European Robin,"70124,30390,133862"
Common Chaffinch,"42803,122548,121597"
Eurasian Coot,"31059,44707,130639"
Common Snipe,"27080,90977,135270"
Common Moorhen,"89530,26789,82701"
Eurasian Jay,"127136,142908,46223"
Red-throated Loon,"58571,58573,58579"
Eurasian Oystercatcher,"53817,25754,76241"
Barn Swallow,"157322,157331,157279"
Eurasian Wryneck,"108002,133054,133471"
Willow Ptarmigan,"130283,149806,71943"
European Herring Gull,"126481,154285,125486"
Common Linnet,"102060,125782,145534"
River Warbler,"83760,140557,110303"
Red Crossbill,"94211,94212,99862"
Common Nightingale,"123808,123810,132580"
European Bee-eater,"148426,141026,97194"
African Pied Wagtail,"125137,41428,118441"
Western Yellow Wagtail,"69792,102788,36637"
Spotted Flycatcher,"103145,134042,139372"
Eurasian Golden Oriole,"27152,101377,80356"
Great Tit,"122555,94652,71454"
House Sparrow,"134291,151150,29766"
Eurasian Tree Sparrow,"143465,90122,43764"
Grey Partridge,"46209,46211,42430"
Coal Tit,"95058,98842,132149"
European Honey Buzzard,"113089,145738,146062"
Common Pheasant,"153129,149146,121326"
Common Redstart,"76760,76761,76762"
Common Chiffchaff,"153833,121963,71748"
Wood Warbler,"101934,101862,101935"
Willow Warbler,"121601,146755,99529"
Eurasian Magpie,"121016,148889,29230"
European Green Woodpecker,"99072,153131,43853"
European Golden Plover,"42344,85842,42343"
Grey Plover,"150291,146757,160879"
Willow Tit,"91185,98691,164926"
Marsh Tit,"46032,55184,26578"
Dunnock,"145537,70132,94669"
Eurasian Bullfinch,"113905,146707,83357"
Goldcrest,"49540,78958,106846"
Eurasian Nuthatch,"99937,28926,78951"
Eurasian Collared Dove,"128851,101940,101941"
European Turtle Dove,"40186,75092,144991"
Tawny Owl,"64728,67089,76765"
Common Starling,"101936,42698,144382"
Eurasian Blackcap,"94964,99357,94967"
Garden Warbler,"102932,49443,146260"
Common Whitethroat,"135521,76740,76742"
Lesser Whitethroat,"101932,101933,102278"
Wood Sandpiper,"41816,102868,102869"
Common Redshank,"83912,57919,110167"
Eurasian Wren,"133872,59776,71024"
Redwing,"121168,27962,25119"
Common Blackbird,"127996,72861,94958"
Song Thrush,"96608,132392,146756"
Northern Lapwing,"27060,97982,69855"
